17:45:07.919550 config: drop-rate=0.00, max-delay=0s, seed=1543272307919550300
17:48:12.823885 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:13.824349 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:14.824813 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:15.825315 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:16.825778 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:17.826240 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:18.826781 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:19.827254 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:20.827777 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:21.828250 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:22.829224 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:23.829724 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:24.830194 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:25.830658 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:26.831134 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:27.831604 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:28.832096 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:29.832561 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:30.833048 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:31.833522 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:32.833988 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:33.834461 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:34.834936 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:35.835398 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:36.835925 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:37.836382 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:38.836847 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:39.837313 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:40.837780 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:41.838246 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:42.839221 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:43.839755 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:44.840330 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:45.840787 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:46.841252 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:47.841711 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:48.842174 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:49.842243 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:50.842705 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:51.843177 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:52.843645 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:53.844109 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:54.845088 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:55.845564 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:56.846027 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:57.847565 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:58.848537 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:48:59.849013 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:00.849482 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:01.849958 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:02.850511 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:03.850974 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:04.851024 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:05.852063 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:06.852530 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:07.852990 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:49:15.639753 [queue=0] packet #1, 127.0.0.1:54036 -> 127.0.0.1:8007, sz=3 is delivered
17:49:15.640754 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:54036, sz=7 is delivered
17:49:15.641753 [queue=0] packet #3, 127.0.0.1:54036 -> 127.0.0.1:8007, sz=9 is delivered
17:49:15.642754 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:54036, sz=11 is delivered
17:49:22.378437 [queue=0] packet #1, 127.0.0.1:54039 -> 127.0.0.1:8007, sz=3 is delivered
